rec,rep,D,D_ends,D_theory,R,R_theory,R_theory2,H,kernelpixelVar,r_PixVar_rgb,g_PixVar_rgb,b_PixVar_rgb,y_PixVar_ycrcb,gray_PixVar_grayscale,h_PixVar_hsv,l_PixVar_lab,l_PixVar_luv,x_PixVar_xyz,y_PixVar_yuv,cr_PixVar_ycrcb,s_PixVar_hsv,a_PixVar_lab,u_PixVar_luv,y_PixVar_xyz,u_PixVar_yuv,cb_PixVar_ycrcb,v_PixVar_hsv,b_PixVar_lab,v_PixVar_luv,z_PixVar_xyz,v_PixVar_yuv,D_sfm,R_sfm,H_sfm
Reef_42_2021_08_18_SFM_4_04_DEM,13,2.101005767,2.071989999,2.071989999,1.163906698,1.00803861,1.040492266,0.280004981,7339.617461,3080.82607,3593.952039,3603.91911,16.08177216,3417.549619,3462.751831,18.01912836,29.80236805,4245.714894,35.14808255,23.21584044,944.1378971,14.21630239,12.29878674,3467.152031,11.82506327,3417.5484,654.4513856,3688.000941,3682.067803,3019.467392,3417.5484,2.426905639,2.451839253,0.590902507
Reef_42_2021_08_18_SFM_4_04_DEM,14,2.01920493,1.99043284,1.99043284,1.160303806,1.008957711,1.038643041,0.392219259,7271.534698,3247.147419,3738.455668,3767.458538,16.12454773,3569.780155,3611.486149,17.64900847,27.43194848,4428.686124,38.31172189,25.27562204,1275.931658,14.21347049,12.70404575,3616.992089,11.74047007,3569.772587,781.2896072,3886.727278,3879.607534,3160.49464,3569.772587,2.4229738,2.467902715,0.628028095
Reef_42_2021_08_18_SFM_4_04_DEM,15,1.95245045,1.933631649,1.933631649,1.234731519,1.013680046,1.06568671,0.590851483,6905.510684,2173.51596,2587.430184,2718.90268,19.86997737,2448.998246,2460.343905,22.14921911,40.24438439,3179.724436,40.87534737,27.17606312,812.7595381,20.47661113,15.11253155,2486.244102,13.89195262,2449.011026,477.0159177,2563.225089,2560.336233,2164.859294,2449.011026,2.271941532,2.31947489,0.876764894
Reef_42_2021_08_18_SFM_4_04_DEM,16,1.870669334,1.81823921,1.81823921,1.227634093,1.013460501,1.071158469,0.874227379,6380.596168,1837.121109,2040.43428,2060.250618,17.6459601,1952.508968,2002.032966,16.06964714,32.37718508,2423.05677,45.20062871,30.13373906,592.6268591,13.01473704,14.68179954,1976.183461,13.31172626,1952.505507,240.1307747,2009.93252,2007.618821,1732.97009,1952.505507,2.225179598,2.07420634,1.032849193
Reef_41_2022_05_17_SFM_4_05_DEM,1,2.226838438,2.193687658,2.193687658,1.050048951,1.009767166,1.018048542,0.20252245,6400.178534,4091.314468,4707.046255,4835.428663,15.31947501,4506.644926,4566.026528,15.50875853,26.57394926,5601.932574,49.01019598,32.23611744,1595.328592,18.92224268,17.54012116,4561.953191,11.12290209,4506.64793,1363.467865,4743.321845,4736.793922,3998.120378,4506.64793,2.348202354,2.511708919,0.758950627
Reef_41_2022_05_17_SFM_4_05_DEM,2,2.207173587,2.205924574,2.205924574,1.052863412,1.010371605,1.020376096,0.200059313,6186.846858,3968.79257,4494.477184,4678.962069,15.38851664,4328.034945,4507.48988,15.35664979,29.02345898,5362.059259,47.2933133,31.2402781,1721.964202,17.26062691,16.52225259,4372.80764,11.51787123,4328.036326,693.0338224,4515.722514,4510.530917,3851.722876,4328.036326,2.341499794,2.441749073,0.716312888
Reef_41_2022_05_17_SFM_4_05_DEM,3,2.226001996,2.206117214,2.206117214,1.051954603,1.009633703,1.017561144,0.192647225,6330.113268,4882.602101,5533.522161,5628.995944,19.0530057,5315.884933,5536.194033,19.39304042,37.10816626,6477.784145,51.80514439,34.29014877,2909.017879,17.58278102,16.5360346,5376.002197,14.50207878,5315.879073,558.3163483,5621.321741,5614.165491,4721.884573,5315.879073,2.444539288,2.594787114,0.566664472
Reef_41_2022_05_17_SFM_4_05_DEM,4,2.232714442,2.227809526,2.227809526,1.037149665,1.006957271,1.012221744,0.151756048,6661.909519,4080.013309,4903.492948,5164.168599,25.590702,4640.515602,5106.395145,23.48682164,50.104753,5986.796423,73.2141689,48.62224985,3137.530176,18.73524424,23.29171516,4711.536159,19.82839787,4640.520186,305.2920518,4996.97924,4990.013929,4098.19428,4640.520186,2.390986268,2.273728772,0.570378066
Reef_41_2022_05_17_SFM_4_05_DEM,5,2.196175133,2.187028072,2.187028072,1.074242109,1.010944521,1.024190009,0.219451281,6895.611987,3243.504488,4016.605847,4154.037149,17.46824051,3761.370883,3634.43926,18.46296215,28.00094876,4763.370539,64.99239865,42.79639002,1114.347609,27.34517441,25.77053144,3831.506507,12.4295639,3761.361326,1467.823566,3820.250938,3816.707501,3304.651361,3761.361326,2.30492704,2.507046677,0.821567821
Reef_41_2022_05_17_SFM_4_05_DEM,6,2.378997075,2.369498399,2.369498399,1.096446941,1.015720187,1.027182326,0.139906684,6805.340547,3630.606037,4024.120994,4121.825014,21.23431909,3878.171235,3885.63503,20.91930532,33.54964297,4772.552719,62.46145814,41.29587141,1175.131697,19.66088258,21.63443392,3917.71026,15.49593145,3878.169849,1087.480417,3987.306238,3982.709452,3452.82813,3878.169849,2.404473196,2.355124577,0.63722502
